id;Cup;Cm;Rm;Ra;Tau;Hold;Rest_Potential;–Ã–Ï‡ı;Slope;Decay;PDS_time;AHP_PDS;Type_PDS;Amp_Spike_PDS;Time_to_spike_PDS;Num_of_PDS;–Ã–Ïin;PDS_cluster_time;AHP_PDS;Time_bitwen_PDS;sag;Delta_sag;first_spike;Lag;apl_spike;max_spike;AHP_spike
1;1;126.25;151;31.8;3.3;3.1;-72.94;60.42;3340.12;-149.81;0.17;-22.28;1;118.65;0.005;7;-45.41;1.19;-2.5;35.58;-31.07;-3.67;-56.21;0.43;100.86;18;-8.48
2;1;163.31;125.1;23.8;3.3;6.2;-73.61;58.29;2674.59;-76.59;0.13;-25.7;1;116.33;0.012;7;-49.01;1.16;-2.44;34.02;-25.33;-1.04;-59.51;0.4;110.78;16;0
3;1;126.3;150;31.7;3.3;3.1;-72.94;60.14;3340.12;-150.11;0.17;-22.31;1;120.25;0.005;7;-45.05;1.2;-2.5;35.61;-31.07;-3.67;-56.21;0.44;99.88;19;-8.51
4;1;163.32;125;23.6;3.3;6.2;-73.65;58.31;2675.59;-75.6;0.13;-26.09;1;115.43;0.011;7;-49.01;1.18;-2.44;34.42;-25.33;-1.18;-60.01;0.39;19.84;16;0
5;1;122.31;187.71;34.6;3.6;-0.3;-71.25;53.11;625.99;-400.06;0.16;-13.52;2;124.45;0.018;7;-21.64;1.39;-1.77;33.25;-31.13;-0.68;-60.03;0.44;117.54;13;0
6;1;102.7;238.6;33.7;3;4.4;-65.5;49.01;1332.79;-71;0.17;-9.1;2;114.31;0.018;7;-21.74;1.38;-3.23;35.54;-31.11;-0.46;-54.13;0.08;107.76;7;-8.67
7;1;183.7;175.2;28.1;4.5;-1.8;-72.1;48.11;1043.26;-465.27;0.15;-2.72;2;115.91;0.02;7;-25.06;2.01;-3.75;32.19;-48.65;0.09;-57.79;0.67;80.77;10;-23.01
8;2;122.3;187.7;32.8;3.6;-0.3;-70.24;53.16;627.87;-393.36;0.17;-13.61;2;123.34;0.017;6;-21.59;1.43;-1.77;13.19;-31.44;-1.08;-59.73;0.44;117.12;13;0
9;3;172.21;115.1;23.6;3.3;6.2;-73.61;58.39;2675.08;-80.61;0.13;-24.31;1;112.11;0.012;7;51.91;1.15;-2.4;34.02;-25.65;-1.3;-59.19;0.45;110.98;16;0
10;4;122.3;187.1;34.8;3.6;-0.3;-70.55;53.87;623.01;-391.23;0.17;-13.01;2;123.35;0.017;6;21.69;1.43;-1.7;13.19;-31.34;-0.44;-60.46;0.44;117.91;13;0
11;5;102.1;240.7;33.5;3;-1;-65.35;48.8;1332.8;-70.29;0.16;-7.09;2;111.21;0.011;8;21.74;1.42;-3.23;12.5;-31.64;-0.75;-53.46;0.07;108.16;7;-8.45
12;6;183.07;165.2;28.9;4.5;-9;-73.45;47.96;1053.26;-504.26;0.15;-3.88;2;114.01;0.018;10;25.32;2.03;-3.7;32.1;-48.27;0.22;-57.64;0.62;83.71;10;-31.46
13;7;118.91;333.88;30.9;3.5;7.4;-78.16;38.15;2827.65;-50.44;0.16;-68.05;2;122.12;0.017;4;-57.25;0.7;1;7.4;-41.6;-0.77;-56.71;0.03;102.67;12;-7.19
14;8;87.91;294.52;28.5;2.2;0.6;-76.65;29.11;1130.88;-84.14;0.18;-50.79;2;112.23;0.041;3;-59.32;0.51;1;4.4;-37.75;-1.77;-57.49;0.05;91.71;9;0
15;9;70.81;341.69;64.6;3.8;0.4;-80.75;69.54;2919.44;-399.53;0.28;-52.81;1;125.66;0.029;3;-48.59;0.91;1;4.33;-37.79;-1.61;-58.94;0.04;94.16;4;0
16;10;103.5;230.91;53.2;4.5;1.7;-73.36;61.54;3105.07;-659.02;0.25;-71.54;1;117.16;0.011;3;-59.39;0.92;1;4.75;-41.26;-0.73;-57.45;0.04;103.46;15;0
17;11;213.91;154.1;24.3;4.5;0.9;-71.73;62.74;4241.25;-327.73;0.21;-42.49;1;127.61;0.001;4;-50;1.01;-4.99;11.16;-23.21;-0.69;-62.98;0.93;126.43;10;0
18;12;117.94;206.7;29.5;3;2.4;-75.71;44.05;1692.83;-300.01;0.18;-38.31;2;120.16;0.025;6;-50.31;1.1;1;7.81;-26.76;-1.01;-61.07;0.32;105.31;15;0
19;13;120.43;320.8;31.7;3.5;7.4;-78.26;38.51;2828.85;-50.14;0.16;-70.39;2;121.21;0.017;5;-56.68;0.82;1;7.44;-41.63;-0.69;-55.09;0.05;103.01;11;-7.15
20;14;71.12;342.1;64.5;3.8;0.4;-80.05;69.49;2802.45;-400.76;0.26;-51.62;1;125.71;0.027;4;-47.96;0.9;1;4.39;-37.69;-1.11;-57.73;0.05;94.76;4;0
21;15;126.01;224;20.5;2.4;1.5;-72.51;60.12;4052.12;-494.78;0.14;-29.79;1;122.68;0.01;6;-48.58;1.22;-1.4;8.93;-31.4;-3.28;-63.15;0.89;125.32;5;0
22;16;191.68;161.3;27.5;4.5;2.4;-73.49;57.13;3012.12;-164.56;0.2;-51.33;1;133.61;0.013;4;-55.48;1.07;-0.5;7.39;-30.25;-0.86;-65.15;0.45;129.32;5;0
23;17;86.93;300.5;28.2;2.2;0.6;-76.04;29.19;1030.48;-84.16;0.18;-51.45;2;111.23;0.043;4;-60.42;0.5;1;4.54;-37.66;-2.65;-56.46;0.04;92;8;0
24;18;130.25;121;31.2;3.3;3.1;-73.94;60.41;3335.17;-150.71;0.17;-22.31;1;119.55;0.005;8;-45.31;1.15;-2.49;43.58;-31.07;-3.87;-56.71;0.43;101.28;19;-8.19
25;19;122.3;187.1;34.4;3.6;-0.3;-71.25;53.09;625.85;-387.76;0.17;-13.59;2;123.15;0.017;8;-21.53;1.41;-1.81;43.21;-31.13;-0.78;-59.11;0.41;117.24;13;0
26;20;102.1;240.7;33.7;3;-4.4;-65.75;50.01;1352.49;-68.78;0.16;-9.25;2;111.21;0.011;8;-21.63;1.4;-3.2;44.59;-31.11;-0.88;-52.99;0.18;108.06;7;-9.31
27;21;183.07;165.2;28.5;4.5;-4.8;-72.43;48.41;1121.06;-504.31;0.15;-3.79;2;112.01;0.018;8;-25.21;2.1;-3.83;42.8;-48.65;-0.42;-56.99;0.64;80.71;10;-30.41
28;22;56.01;520.1;55.3;2.9;1.8;-69.93;50.86;1356.58;-99.99;0.2;-10.36;3;105.08;0.017;8;-31.29;0.91;-2.81;44.81;-51.9;-15.75;-55.14;0.11;100.47;24;-12.59
29;23;142.99;220.6;37.8;4.5;1.5;-71.52;56.33;924.42;-114.02;0.37;-13.99;1;120.06;0.014;8;-17.21;0.54;-2.49;44.31;-44.56;-0.31;-53.47;0.34;110.37;11;-2.21
30;24;60.52;442.1;47.1;2.6;-3.4;-74.11;50.21;1064.67;-81.18;0.35;-15.79;3;102.66;0.017;8;-24.81;0.62;-3.41;44.41;-52.8;-8.27;-59.43;0.05;90.45;37;0
31;25;85.94;191.8;37.4;2.6;1.4;-71.23;61.12;3370.58;-101.11;0.01;-50.01;1;95.65;0.018;4;-47.27;0.9;-4.34;32.14;-34.51;-1.5;-53.95;0.06;87.17;9;-7.41
32;26;160.93;191.8;33.9;4.2;-3.2;-71.47;67.45;4315.92;-70.41;0.18;-41.51;1;135.01;0.013;7;-14;1.6;-4.36;32.48;-30.11;-2.91;-69.56;0.32;133.62;16;0
33;27;63.01;520.7;65.4;3.7;-2.2;-70.8;52.36;3550.42;-83.07;0.27;-61.61;3;105.13;0.006;8;-36.01;1.5;-6.36;14.03;-42.81;-6.6;-62.65;0.07;115.85;24;-27.76
34;28;99.83;362.23;51.5;4.5;3.4;-75.58;54.54;3072.27;-620.02;0.15;-52.53;2;110.06;0.008;6;-50.12;1.37;-1.16;7.85;-40.74;-2.6;-67.76;0.73;113.81;12;-13.04
35;29;117.95;202.7;29.4;3;2.4;-75.61;42.88;1693.73;-287.76;0.17;-38.55;2;110.06;0.021;5;-50.27;0.97;1;5.78;-26.25;-1.01;-63.77;0.27;105.31;15;0
36;30;100.93;353.8;31.9;3.5;7.4;-78.16;39.15;2788.71;-49.14;0.16;-69.55;2;101.22;0.017;4;-56.67;0.73;1;7.4;-41.23;0;-56.79;0.03;102.11;11;-7.45
37;31;89.93;304.5;28.7;2.2;0.6;-76.65;30.16;1170.58;-89.87;0.18;-53.43;2;101.63;0.042;3;-60.12;0.48;1;4.4;-40.24;-3.93;-55.25;0.05;91.22;8;0
38;32;71.88;340.6;64.5;3.8;0.4;-80.75;70.21;2925.54;-414.61;0.27;-53.61;1;114.69;0.027;3;-48.36;0.88;1;4.33;-38.49;-3.39;-57.35;0.04;94.29;4;0
39;33;104.51;231.9;53.6;4.5;11.7;-73.36;61.64;3115.77;-663.32;0.27;-71.43;1;107.19;0.011;3;-58.64;0.82;1;7.75;-42.49;-2.96;-56.52;0.04;103.24;11;0
40;34;214.84;160.2;24.4;4.5;10.9;-71.78;62.68;4259.27;-329.57;0.21;-41.54;1;119.91;0.001;4;-49.41;0.99;-4.84;10.16;-24.12;-0.6;-63.34;0.79;121.09;10;0
41;35;73.48;472.3;46.1;3.5;2.8;-58.94;43.39;4080.64;-199.15;0.17;-40.41;3;113.47;0.006;5;-41.52;1.35;-1.71;9.23;-41.56;-10.56;-52.55;0.04;110.45;40;-7.57
42;36;127.01;224;20.3;2.4;1.5;-73.51;60.09;4152.62;-491.71;0.14;-30.8;1;123.1;0.019;6;-49.11;1.2;-1.4;10.49;-31.4;-2.68;-63.19;0.9;125.62;6;0
43;37;190.68;169.3;27.4;4.5;1.4;-74.49;57.12;3097.78;-154.54;0.21;-50.23;1;133.61;0.013;4;-55.51;1.05;-0.5;15.39;-30.25;-0.84;-65.18;0.45;129.91;5;0
44;38;122.29;187.8;34.8;3.6;-0.3;-70.25;53.16;623.99;-390.96;0.17;-13.61;2;123.35;0.017;6;-21.61;1.43;-1.77;13.19;-31.13;-0.25;-59.63;0.44;117.37;13;0
45;39;102.78;238.7;33.5;3;-1.4;-65.55;48.89;1322.79;-68.9;0.16;-8.8;2;111.21;0.011;8;-21.77;1.42;-3.23;12.5;-31.11;-0.22;-53.83;0.1;108.46;7;-8.58
46;40;183.07;165.2;28.9;4.5;-9.8;-72.45;47.91;1033.26;-464.27;0.15;-2.72;2;114.01;0.018;11;-24.96;2.06;-3.75;32.1;-48.65;-0.19;-57.68;0.7;79.71;10;-29.91
47;41;56.14;520.6;56.3;2.9;1.8;-68.73;50.96;1460.68;-100.86;0.19;-11.05;3;104.98;0.01;6;-30.88;0.96;-2.75;11.4;-51.9;-15.58;-55.11;0.07;99.47;23;-11.6
48;42;142.67;221.6;36.8;4.5;1.5;-70.62;56.76;819.44;-115.21;0.36;-14.47;1;120.06;0.014;2;-17.43;0.55;-2.5;20.31;-44.56;-0.11;-53.77;0.32;109.31;11;-1.89
49;43;62.52;422.1;46.1;2.6;-3.4;-73.94;51.21;1087.57;-79.18;0.39;-15.56;3;102.66;0.018;2;-24.23;0.65;-3.42;94.18;-52.8;-7.88;-59.63;0.02;88.44;35;0
50;44;85.94;191.8;36.4;2.6;1.4;-71.29;60.12;3370.58;-102.16;0.01;-49.07;1;95.55;0.01;4;-47.24;0.94;-4.33;32.14;-34.48;-1.46;-53.65;0.04;87.17;3;-7.81
51;45;158.93;201.8;32.9;4.2;-3.2;-71.47;67.2;4315.92;-69.39;0.19;-40.41;1;134.09;0.013;7;-13.98;1.62;-4.35;32.48;-29.48;-2.08;-69.03;0.27;133.32;16;0
52;46;63.66;519.7;65.5;3.7;-2.2;-70.8;52.37;3550.42;-82.08;0.25;-63.6;3;104.33;0.006;8;-35.83;1.54;-6.23;14.03;-43.79;-6.38;-62.87;0.07;115.85;25;-27.23
53;47;99.82;362.2;51.5;4.5;3.4;-75.68;55.54;3051.2;-620.83;0.15;-52.43;2;124.06;0.008;6;-50.17;1.37;-1.16;7.85;-40.95;-2.8;-68.76;0.73;113.89;12;-12.94
54;48;117.94;206.7;29.4;3;2.4;-75.71;43.88;1682.43;-297.06;0.17;-38.27;2;120.06;0.024;5;-50.29;0.97;1;5.78;-26.76;-1.49;-61.77;0.27;105.29;15;0
55;49;100.82;352.2;52.5;4.5;3.4;-74.68;55.55;3051.2;-610.43;0.15;-54.48;2;123.02;0.008;6;-50.17;1.4;-1.21;7.05;-41.25;-4.24;-68.81;0.75;114.31;11;-13.15
56;50;112.94;209.7;30.4;3;2.4;-76.71;43.84;1682.43;-280.96;0.17;-40.29;2;121;0.024;5;-50.66;0.99;1;5.78;-26.89;-1.66;-61.78;0.31;105.02;16;0
57;51;120.93;321.8;32.1;3.5;7.4;-77.06;38.12;2827.65;-51.54;0.16;-70.51;2;120.99;0.017;4;-56.43;0.81;1;7.49;-41.32;-0.3;-55.91;0.03;102.42;11;-7.34
58;52;87.13;297.5;27.9;2.2;0.6;-76.05;29.13;1130.88;-84.17;0.17;-50.42;2;110.69;0.042;3;-60.46;0.5;1;4.48;-37.15;-0.85;-56.12;0.05;100.25;8;0
59;53;70.99;381.6;63.9;3.8;0.4;-79.75;69.49;2919.44;-401.46;0.26;-51.61;1;120.61;0.027;3;-47.96;0.9;1;4.33;-37.12;-1.13;-57.17;0.04;96.75;4;0
60;54;101.51;234.9;52.6;4.5;1.7;-73.13;61.54;3105.07;-666.32;0.26;-71.53;1;116.14;0.011;3;-58.65;0.9;1;4.75;-41.61;-0.51;-56.63;0.04;103.45;11;0
61;55;215.84;150.2;23.4;4.5;2.9;-72.78;62.63;4241.25;-319.89;0.21;-41.67;1;129.51;0.019;4;-49.41;0.89;-5.32;11.16;-24.13;-0.45;-63.85;0.87;124.39;9;0
62;56;141.23;243.6;36.8;4.5;2.1;-72.69;57.52;2023.28;-799.07;0.16;-45.99;1;124.52;0.014;5;-59.45;1.1;-0.1;8.33;-31.14;-1.46;-64.74;0.14;123.95;6;-6.36
63;57;73.48;482.3;46.1;3.5;6.8;-58.91;43.53;4180;-195.75;0.17;-43.46;3;111.67;0.006;5;-41.28;1.3;-1.72;9.23;-40.69;-9.21;-52.91;0.04;110.47;39;-7.57
64;58;121.01;229.81;21.5;2.4;1.5;-72.21;60.32;4052.12;-499.63;0.14;-30.7;1;121.68;0.018;6;-48.61;1.3;-1.39;8.93;-31.39;-3.45;-63.17;0.85;125.57;5;0
65;59;190.68;164.3;26.5;4.5;1.4;-73.49;57.73;3012.12;-166.16;0.19;-50.06;1;132.61;0.013;4;-55.53;1.1;-0.49;7.39;-30.21;-1.94;-65.66;0.45;129.25;5;0
66;60;123.29;184.8;35.8;3.6;-0.3;-71.25;53.15;623.99;-390.96;0.17;-13.57;2;123.35;0.017;5;-21.43;1.4;-1.75;13.19;-30.96;0.3;-59.62;0.49;117.54;13;0
67;61;62.53;422.21;46.2;2.6;-3.4;-72.92;52.21;1067.56;-80.88;0.39;-15.76;3;110.66;0.017;2;-24.54;0.65;-3.42;94.18;-53;-8;-60.63;0.02;98.44;35;0
68;62;85.24;291.8;36.3;2.6;1.4;-72.19;61.12;3368.98;-104.13;0.01;-49.87;1;105.55;0.014;4;-47.25;0.94;-4.33;32.14;-34.57;-1.57;-55.65;0.04;88.87;3;-7.76
69;63;158.93;301.8;33.1;4.2;-3.2;-70.97;68.2;4385.12;-69.51;0.19;-40.91;1;124.09;0.013;7;-13.05;1.62;-4.35;32.48;-30.27;-2.95;-67.03;0.27;131.32;16;0
70;64;63.63;519.2;65.5;3.7;-2.2;-71.02;51.37;3548.52;-82.19;0.25;-63.6;3;110.33;0.006;9;-35.73;1.54;-6.23;14.03;-44.28;-7.91;-68.87;0.07;113.55;25;-26.21
71;65;62.52;422.71;45.1;2.6;-2.4;-72.24;52.21;1087.57;-80.17;0.37;-15.51;3;100.56;0.018;2;-24.21;0.59;-3.49;94.18;-52.79;-6.85;-60.11;0.02;88.35;35;0
72;66;85.44;191.78;35.8;2.6;1.4;-71.79;60.12;3370.58;-103.17;0.02;-50.17;1;100.45;0.017;4;-47.16;0.98;-4.3;32.14;-34.53;-0.79;-54.29;0.05;87.25;10;-7.59
73;67;158.43;201.78;33.1;4.2;-3.2;-71.97;67.25;4315.92;-67.69;0.18;-39.91;1;133.1;0.013;7;-14.21;1.59;-4.32;32.48;-29.54;-2.57;-69.03;0.3;133.23;16;0
74;68;63.61;519.79;64.5;3.7;-2.2;-70.84;52.37;3550.42;-83.08;0.24;-63.69;3;103.16;0.006;8;-35.79;1.48;-6.13;14.03;-43.84;-6.37;-63.61;0.07;115.15;25;-27.77
